FID;CID;curvature1;waterriver;VGTB_LandC;fill_dgmq3;litho1;dgm_slope1;aspect;curv_pln;curv_profi;soil1;NEAR_FID;NEAR_DIST;longitude;latitude;is_ls;Topographi
581;0;-0,5598500;99;1;61,2981987;3;20,0030994;76,2519989;-0,1693220;0,3905280;3;22;729,166429994000055;825020,0000000;1719380,0000000;0;5,2707801
582;0;-2,4815300;60;1;605,8660278;3;27,9421997;307,3099976;-0,5292020;1,9523200;3;41;102,164116778999997;768468,0000000;1767940,0000000;0;5,7205501
583;0;0,8903330;99;1;695,3179932;3;29,9610996;317,4840088;-0,0427837;-0,9331170;3;41;189,879406686000010;770518,0000000;1765430,0000000;0;4,4389200
584;0;0,0777304;99;2;11,2950001;5;2,6778100;135,9320068;0,1098040;0,0320735;10;51;331,129309755000008;864595,0000000;1737980,0000000;0;8,4547501
585;0;-0,2450100;99;2;23,9260006;3;11,2265997;210,8580017;0,1183440;0,3633540;4;46;746,707158455000013;809405,0000000;1757700,0000000;0;7,2681799
586;0;0,0689187;99;2;6,7312698;5;1,0863100;175,6089935;0,0116587;-0,0572600;4;59;210,555958312999991;848935,0000000;1760320,0000000;0;9,8804197
587;0;0,3324290;99;1;19,1541004;5;4,2308898;233,7830048;0,1600060;-0,1724230;4;16;903,820695139000009;829180,0000000;1771660,0000000;0;7,7489400
588;0;0,5323420;90;3;857,0369873;3;23,2234001;172,0019989;0,1365500;-0,3957920;1;26;771,972032408000018;806394,0000000;1680770,0000000;0;5,2431898
589;0;-1,0805800;99;3;510,9209900;3;26,4426994;59,8212013;-0,5777610;0,5028150;3;39;402,684022918999972;802762,0000000;1696910,0000000;0;5,4459600
590;0;-0,6348570;60;1;320,8919983;3;15,8893995;165,2859955;-0,0106167;0,6242400;3;40;51,921167873800002;802577,0000000;1710510,0000000;0;5,5148101
591;0;-0,6465390;99;1;801,2360229;3;39,1719017;104,0869980;-0,0601724;0,5863660;1;25;591,240909250999948;792410,0000000;1692710,0000000;0;4,9603500
592;0;1,2279700;99;1;780,3439941;3;27,1373005;333,6099854;0,8424130;-0,3855600;3;41;524,086596932000020;768616,0000000;1766430,0000000;0;4,4545898
593;0;0,4558070;60;3;500,9479980;4;10,5874004;356,2619934;-0,5846390;-1,0404500;3;23;867,233493810000027;782061,0000000;1732350,0000000;0;5,5223098
594;0;0,0351698;30;4;13,9497995;5;0,2297240;5,7676802;0,0351733;0,0000035;4;44;1355,158453190000046;828439,0000000;1758020,0000000;0;12,2174997
595;0;0,0205431;99;6;11,0430002;5;3,1811500;3,6025901;0,0492215;0,0286784;4;46;428,533296328000006;819849,0000000;1755440,0000000;0;8,7914305
596;0;-1,3223100;99;1;386,7640076;2;35,8643990;317,8150024;-0,5453760;0,7769330;3;11;1315,631186379999917;819676,0000000;1783120,0000000;0;4,8954201
597;0;-1,3128999;99;1;59,9696999;4;16,6264000;23,0181007;-0,7732970;0,5396050;3;0;61,608101040699999;850766,0000000;1786560,0000000;0;6,0759902
598;0;-0,2008600;99;3;371,3800049;3;21,1301003;250,5729980;0,0246999;0,2255600;3;38;374,493510683000011;802969,0000000;1701270,0000000;0;5,5898099
